,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
803,EDR,2,2.0,1.0,6.14301369,11.0,0.00044863,0.0,0.00014572430678434767
804,EEK,2,2.0,1.0,6.72696228,14.0,2.632e-05,0.0,0.0001700602877089419
805,EFL,2,2.0,1.0,5.42200986,12.0,0.00782346,0.0,0.00011257815506439477
806,EGC,2,2.0,1.0,5.2831862,12.0,0.01627219,0.0,0.00010843361449054986
807,EGE,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676016425412757e-05
808,EGL,1,1.0,,7.27927448,14.0,3e-05,0.0,0.0001132287252152675
809,EGM,3,3.0,1.0,7.1696604,11.0,2.167e-05,0.0,0.0002451068299224406
810,EGN,3,3.0,0.66666667,7.37965132,14.0,7.712e-05,0.9999999999999999,0.00018539777837596122
811,EGO,1,1.0,,5.40842025,12.0,0.01034316,0.0,6.4811752025577e-05
812,EGS,3,3.0,0.66666667,6.11785219,13.0,0.0024383,1805.9999999999995,0.00018968283911453002
813,EGX,2,2.0,0.0,6.730065,14.0,2.559e-05,3615.9999999999995,0.00023591628047144866
814,EHL,2,2.0,0.0,6.57255585,14.0,6.924e-05,6.083333333333333,0.00014500532941987937
815,EHM,1,1.0,,6.72849567,14.0,2.52e-05,0.0,0.00011338335366344729
816,EIN,6,6.0,0.86666667,5.26167446,12.0,0.07024794,2.62316316120778,0.00015291593466015856
817,EIS,7,7.0,0.66666667,5.75469401,13.0,0.00949937,26.541436811816762,0.00021325063349968856
818,EJA,1,1.0,,5.96182028,13.0,0.00247156,0.0,7.175812045606324e-05
819,EJH,3,3.0,1.0,5.57884959,12.0,0.00587623,0.0,0.00011008317849232595
820,EKO,3,3.0,0.33333333,6.03684889,13.0,0.00579739,24.736284873519097,0.00012638345222455803
821,ELC,5,5.0,0.4,7.12565706,12.0,1.787e-05,206.0729938059593,0.0003340642412983576
822,ELD,2,2.0,0.0,5.59868984,13.0,0.00884575,3616.0,0.00015227253658531994
823,ELE,2,2.0,1.0,5.92126923,13.0,0.00193477,0.0,0.00012492897911210032
824,ELF,3,3.0,0.66666667,6.37940652,13.0,0.00142213,1195.1849202073536,0.0001612779878317813
825,ELG,2,2.0,1.0,6.23132524,13.0,0.00377173,0.0,9.351984851793686e-05
826,ELH,5,5.0,0.7,5.86884468,13.0,0.01584064,177.12030765320162,0.00018289282892234286
827,ELI,4,4.0,0.33333333,6.72780912,14.0,2.718e-05,1809.7678571428564,0.0002682379821573375
828,ELM,6,6.0,0.86666667,5.53109504,13.0,0.03289641,2.891349352902484,0.00015984018054611478
829,ELP,15,15.0,0.67619048,5.07047133,12.0,0.07794097,239.4432811072892,0.0003477071656853275
830,ELQ,9,9.0,0.63888889,5.6232227,12.0,0.01216235,26.955605582007,0.00026337387318841384
831,ELS,4,4.0,1.0,5.69847192,12.0,0.00633766,0.0,0.000169198401336831
832,ELU,2,2.0,1.0,6.2342619,13.0,0.00419858,0.0,9.082563278506245e-05
833,ELV,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798470831218476
834,ELY,2,2.0,0.0,5.6318495,13.0,0.00619406,23.70084376977246,9.635097035094437e-05
835,EMD,2,2.0,1.0,6.1767176,11.0,0.00094979,0.0,0.0001360688988472604
836,EMI,2,2.0,1.0,7.72651767,12.0,2.89e-06,0.0,0.00016923974831447645
837,EMK,5,5.0,0.6,5.72939592,13.0,0.00144218,3580.099999999997,0.00031333558318249045
838,EMN,1,1.0,,6.22902574,13.0,0.00057553,0.0,7.156176574842359e-05
839,EMS,2,2.0,0.0,8.72716028,13.0,5e-08,1808.0,0.0002308400346807385
840,EMX,2,2.0,0.0,6.58739489,14.0,6.18e-05,0.9166666666666666,0.00014891649126680748
841,ENA,1,1.0,,5.73091964,13.0,0.00138838,0.0,8.546645461778772e-05
842,ENY,2,2.0,1.0,5.66747594,12.0,0.00639082,0.0,8.198859093114618e-05
843,EOI,3,3.0,0.66666667,7.21243918,14.0,3.415e-05,0.5,0.00019494772162703173
844,EPL,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.234932833210316e-05
845,EPR,2,2.0,1.0,5.95893076,12.0,0.00079969,0.0,0.00014141940192724073
846,EPS,1,1.0,,6.08870354,13.0,0.00206974,0.0,6.391823201522511e-05
847,EQS,5,5.0,0.5,5.58818729,13.0,0.00341021,3611.7360195360197,0.0002695873908561229
848,ERC,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.922713109331792e-05
849,ERF,14,14.0,0.87912088,5.76706891,13.0,0.07679554,1.2425021089834176,0.00026813724212351416
850,ERI,3,3.0,1.0,5.51185703,13.0,0.02147944,0.0,9.699414939395608e-05
851,ERZ,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.962674617630735e-05
852,ESC,5,5.0,0.3,5.96563227,13.0,0.00576747,3.9473244147157187,0.00017133113872470185
853,ESD,5,5.0,0.5,5.72031709,13.0,0.00601849,1808.2547619047614,0.0002510293864177901
854,ESL,1,1.0,,5.40842025,12.0,0.01034316,0.0,6.4811752025577e-05
855,ESR,1,1.0,,7.64055087,15.0,2.893e-05,0.0,9.279769536052078e-05
856,ESU,1,1.0,,6.23228388,13.0,0.00452963,0.0,6.128360101797351e-05
857,ETH,4,4.0,0.66666667,5.45791556,12.0,0.01788174,135.76077232579863,0.00014984176027625905
858,ETZ,8,8.0,0.92857143,5.20441122,12.0,0.0387148,31.5541047706009,0.00019078891265172918
859,EUA,1,1.0,,6.56243701,13.0,0.00010654,0.0,8.672462863602623e-05
860,EUG,6,6.0,1.0,5.13305222,12.0,0.0379211,0.0,0.000176660004002511
861,EUN,4,4.0,0.5,6.23151352,13.0,0.00969778,109.42033746376569,0.00013692552238201368
862,EUX,2,2.0,1.0,6.1099922,13.0,0.00164702,0.0,0.00011018928170140204
863,EVE,5,5.0,0.9,6.25992179,13.0,0.00570339,0.7833333333333333,0.00022273710256615715
864,EVG,1,1.0,,6.68589035,14.0,0.00013593,0.0,0.00010901038962442599
865,EVN,38,38.0,0.31578947,5.36015855,12.0,0.16649604,4012.9589115769836,0.0008608493956862072
866,EVV,10,10.0,0.71111111,5.50569471,13.0,0.06281304,521.2584136347788,0.00025028462545283615
867,EWB,2,2.0,1.0,6.54119691,14.0,0.00068852,0.0,9.662032066624229e-05
868,EWN,2,2.0,1.0,5.80852166,13.0,0.01167697,0.0,7.78586010539778e-05
869,EXI,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798470831218476
870,EXM,1,1.0,,6.95750753,13.0,1.482e-05,0.0,9.79927344698594e-05
871,EXT,4,4.0,0.66666667,5.88179729,13.0,0.01424292,1.2696482253378805,0.00011876120014725498
872,EYL,2,2.0,1.0,6.23239666,13.0,0.00063699,0.0,0.00012275767991878602
873,EYP,1,1.0,,5.96182028,13.0,0.00247156,0.0,7.175812045606324e-05
874,EYW,6,6.0,0.86666667,5.90210806,13.0,0.02953908,2.611951765713206,0.00015905850944171162
875,EZS,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.962674617630735e-05
876,FAE,3,3.0,0.66666667,5.43442603,12.0,0.01293055,22.326018642870913,0.00011519958542770445
877,FAI,34,34.0,0.04991087,5.74781771,13.0,0.00724132,130080.08406144594,0.0020488181697282705
878,FAJ,3,3.0,0.66666667,6.53809558,14.0,0.00157701,0.6666666666666666,0.0001264031317810991
879,FAO,22,22.0,0.65800866,5.20307872,12.0,0.16208969,129.87839146785376,0.0004252606948723976
880,FAR,3,3.0,1.0,5.46156849,13.0,0.02522045,0.0,0.00010834135382945816
881,FAT,10,10.0,0.86666667,5.10123973,12.0,0.05564182,235.24099854921639,0.00026940367965551365
882,FAV,2,2.0,1.0,6.07012229,13.0,0.00044784,0.0,0.00013859248788014984
883,FAY,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.954803036883061e-05
884,FBM,6,6.0,0.46666667,5.65018234,12.0,0.00648002,833.8809447017311,0.00026835139755265503
885,FCA,7,7.0,0.85714286,5.66551838,13.0,0.01224679,1.7178571428571427,0.0002336539833648314
886,FDE,2,2.0,1.0,6.26854981,13.0,0.00623167,0.0,9.228080425154033e-05
887,FDF,14,14.0,0.28571429,5.30686882,12.0,0.03144784,7499.803751621917,0.00042587318091894753
888,FDH,12,12.0,0.96969697,5.27028083,12.0,0.08971601,0.12670408981555734,0.00023819752213298704
889,FEG,2,2.0,1.0,5.90154697,13.0,0.00381459,0.0,0.00010010933837147876
890,FEJ,1,1.0,,7.84378047,15.0,1.138e-05,0.0,9.525972650540398e-05
891,FEN,3,3.0,1.0,6.1044646,13.0,0.00135629,0.0,0.0001264619516475882
892,FEZ,2,2.0,1.0,5.26741803,12.0,0.0205128,0.0,8.217355953223066e-05
893,FHU,1,1.0,,5.74615402,13.0,0.00634151,0.0,6.220658884434067e-05
894,FIE,1,1.0,,7.28996265,14.0,6.729e-05,0.0,8.52451463555374e-05
895,FIH,20,20.0,0.28421053,5.19599243,12.0,0.03337466,22725.012020318874,0.0007001770105419133
896,FIN,1,1.0,,9.72461931,14.0,0.0,0.0,0.00015223654120948663
897,FIZ,2,2.0,0.0,6.9545877,13.0,3.256e-05,8160.068705091741,0.0001753802106302489
898,FJR,7,7.0,0.71428571,5.69041129,12.0,0.01274133,3.3005626366362018,0.00019003320983970357
899,FKB,1,1.0,,6.37884588,13.0,0.00849325,0.0,5.795674021280268e-05
900,FKL,2,2.0,1.0,5.81738468,13.0,0.00721785,0.0,0.0001076728453916749
901,FKS,6,6.0,0.93333333,5.43234277,12.0,0.01563653,1.6062321543608207,0.0001833734046780868
902,FLA,1,1.0,,6.95989125,14.0,4.93e-05,0.0,9.148819496713817e-05
903,FLG,1,1.0,,5.74615402,13.0,0.00634151,0.0,6.220658884434067e-05
904,FLL,56,56.0,0.39415584,4.78956054,12.0,0.26807445,15456.35689251904,0.0012585415463284217
905,FLN,8,8.0,0.46428571,5.59686049,13.0,0.00861849,282.20078547686364,0.0003340025306682557
906,FLO,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.954803036883061e-05
907,FLR,20,20.0,0.60526316,5.25583095,12.0,0.15636158,294.7481898011836,0.00040714156414532315
908,FLS,3,3.0,1.0,5.79615589,12.0,0.00080857,0.0,0.000159717277777984
909,FLW,3,3.0,0.66666667,7.08286412,14.0,0.00021087,1.8333333333333333,0.00019395243641491444
910,FMA,2,2.0,1.0,5.59009338,13.0,0.00327358,0.0,0.00013025796981064888
911,FMN,3,3.0,1.0,5.72268418,13.0,0.01500811,0.0,0.00011196784324258385
912,FMO,22,22.0,0.74458874,5.24689534,12.0,0.16053478,64.3842031529727,0.0004112527858983608
913,FMY,26,26.0,0.78461538,5.11049057,12.0,0.19818863,653.3354436736677,0.0005290460515052696
914,FNA,5,5.0,0.7,6.2336504,13.0,0.00851578,3.9491482784930447,0.0001523992216102742
915,FNC,17,17.0,0.65441176,5.22604473,12.0,0.1390967,1860.837687813238,0.0003793667823158621
916,FNI,2,2.0,1.0,5.2070903,12.0,0.03374494,0.0,8.084433210702463e-05
917,FNJ,6,6.0,0.46666667,5.40980336,12.0,0.0234961,68.87421452149253,0.0001753050198897115
918,FNT,8,8.0,0.82142857,5.51452765,13.0,0.0462066,26.361080205169888,0.00019962432173633256
919,FOC,28,28.0,0.63756614,5.65020706,12.0,0.02808223,63.187581118993485,0.0005686603399617811
920,FOD,1,1.0,,6.63044818,14.0,0.00012244,0.0,0.00010767637269021187
921,FOG,4,4.0,0.5,5.23545764,12.0,0.02369163,3615.999999999999,0.00016442663732206428
922,FON,1,1.0,,6.62483524,14.0,0.00153095,0.0,7.612356125924727e-05
923,FOR,16,16.0,0.34166667,5.24096749,12.0,0.03663877,15687.99857859202,0.000534371052907895
924,FPO,10,10.0,0.8,5.95383034,13.0,0.05256473,26.474968170862606,0.0002333848112116137
925,FRA,237,237.0,0.11696346,4.35164967,11.0,0.97602259,428847.8032452029,0.004969229196987755
926,FRB,2,2.0,0.0,6.88952051,13.0,2.574e-05,3615.9999999999995,0.0002471802743851548
927,FRC,2,2.0,1.0,5.77303279,13.0,0.00477253,0.0,0.00010685071659054621
928,FRD,7,7.0,0.42857143,5.72057855,13.0,0.00612733,4821.519047619144,0.0003437702266573427
929,FRE,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849477460680224
930,FRO,2,2.0,1.0,6.26854981,13.0,0.00623167,0.0,9.228080425154033e-05
931,FRS,4,4.0,0.33333333,5.78527168,13.0,0.00632851,239.23567535090723,0.00015267940162612815
932,FRU,17,17.0,0.39705882,5.30568415,12.0,0.05534702,969.0140995242554,0.00043149839193062093
933,FRW,1,1.0,,6.660637,13.0,0.00010945,0.0,8.819343759958199e-05
934,FSC,3,3.0,0.66666667,5.2386511,12.0,0.02551112,0.08823529411764706,9.868047094550671e-05
935,FSD,4,4.0,1.0,5.45497239,13.0,0.03211597,0.0,0.00012794106949474537
936,FSM,2,2.0,1.0,5.55976175,13.0,0.01405077,0.0,8.132590620437507e-05
937,FSP,5,5.0,0.6,5.87270074,13.0,0.0084,227.74346605517206,0.00019639635865254855
938,FTA,3,3.0,0.66666667,7.85319741,13.0,1.72e-06,0.5,0.00022796662375927694
939,FTU,4,4.0,0.33333333,6.18639662,13.0,0.00054297,1809.8500000000004,0.00024980470327198796
940,FUE,26,26.0,0.65846154,5.08965216,12.0,0.14738595,112.82354216244116,0.00047036535584683733
941,FUG,1,1.0,,6.65008657,13.0,0.00043356,0.0,6.055522812345605e-05
942,FUJ,2,2.0,0.0,6.26806631,12.0,0.00151534,0.1,9.130141933684318e-05
943,FUK,41,41.0,0.27439024,5.25774618,11.0,0.06196398,10370.285979624323,0.0011177757554334997
944,FUN,1,1.0,,6.9808749,13.0,1.184e-05,0.0,0.00011041094674571414
945,FUT,1,1.0,,6.96952282,13.0,2.2e-05,0.0,9.463246097827413e-05
946,FVL,2,2.0,0.0,8.9555791,15.0,2e-08,5.0,0.00021798179630977827
947,FWA,10,10.0,1.0,5.59702877,13.0,0.08152391,0.0,0.0002299689531055165
948,FYU,6,6.0,0.46666667,6.74764861,14.0,0.00013599,3013.1666666663587,0.0003829643135900592
949,FYV,7,7.0,1.0,5.4946151,13.0,0.05026562,0.0,0.00017724930153082395
950,GAF,2,2.0,1.0,6.34788679,13.0,0.00890542,0.0,7.622346071510263e-05
951,GAJ,4,4.0,0.83333333,5.31972951,12.0,0.0141374,0.0425531914893617,0.00013855235711973207
952,GAL,9,9.0,0.41666667,5.72007121,13.0,0.00155645,9124.153589290134,0.00048641189604845404
953,GAM,3,3.0,0.66666667,6.72865427,14.0,2.672e-05,0.5,0.00020656998087015683
954,GAN,2,2.0,1.0,6.24611379,12.0,0.00199176,0.0,0.00011575622375321511
955,GAO,1,1.0,,5.80006202,13.0,0.00381542,0.0,6.56499421749275e-05
956,GAQ,1,1.0,,8.23204059,15.0,2e-07,0.0,0.00012569889216550425
957,GAR,3,3.0,0.0,7.72429966,12.0,3.05e-06,107.95238095238093,0.00023754524432288173
958,GAU,6,6.0,0.4,5.68722112,12.0,0.0051841,296.6033598952003,0.00026564058112526947
959,GAX,1,1.0,,7.18806355,14.0,2.6e-05,0.0,9.768194023399379e-05
960,GBD,2,2.0,1.0,5.95903392,13.0,0.0048732,0.0,9.697909642640014e-05
961,GBE,4,4.0,0.33333333,5.66067902,12.0,0.00616228,3620.183333333335,0.0002199250248555098
962,GBJ,1,1.0,,6.25355884,13.0,0.00073297,0.0,6.931799798516681e-05
963,GBL,2,2.0,1.0,6.73771434,12.0,0.00026885,0.0,0.00014696134709604467
964,GCC,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676016425412757e-05
965,GCI,11,11.0,0.47272727,5.25066315,12.0,0.06580129,1284.8732719287868,0.00026911337482569015
966,GCK,4,4.0,0.66666667,5.81811157,13.0,0.01097771,38.607082348517025,0.00016507376866847271
967,GCM,12,12.0,0.51515152,5.573216,13.0,0.06295791,19248.819652703285,0.0003518867079544674
968,GCN,2,2.0,0.0,5.6313981,13.0,0.00609301,3616.0,0.0001499534871219668
969,GDE,4,4.0,0.66666667,7.27718068,14.0,3.979e-05,1.0,0.00026615514625914717
970,GDL,37,37.0,0.29129129,5.08885467,12.0,0.09717608,5198.884999005372,0.0008864171358320175
971,GDN,5,5.0,1.0,5.14654762,12.0,0.05241878,0.0,0.00013215394623318055
972,GDQ,5,5.0,0.5,6.27905775,13.0,0.00178458,3615.916666666666,0.00027868992492178596
973,GDT,4,4.0,0.33333333,6.52666295,14.0,0.00069057,3618.42531157722,0.0002475325220394813
974,GDV,2,2.0,0.0,7.6517802,15.0,1.916e-05,0.75,0.00015431890658471693
975,GDX,5,5.0,0.3,5.41681242,12.0,0.01132899,4244.342257721601,0.00022687798927760951
976,GDZ,2,2.0,1.0,5.40607614,12.0,0.01093308,0.0,8.70363593008702e-05
977,GEG,16,16.0,0.66666667,5.14658773,12.0,0.06934367,322.8967061299054,0.00042252041449960414
978,GEL,2,2.0,1.0,6.5792294,14.0,0.00023202,0.0,0.000128671661989342
979,GEO,4,4.0,0.66666667,5.57659846,13.0,0.01716043,33.05450913953863,0.00012883076652377043
980,GER,1,1.0,,5.80006202,13.0,0.00381542,0.0,6.56499421749275e-05
981,GES,2,2.0,1.0,5.71378719,11.0,0.0026725,0.0,0.00011095103045064419
982,GET,5,5.0,0.5,5.95880734,12.0,0.00082943,10842.583333333332,0.00033008942636720797
983,GEV,3,3.0,1.0,5.68567817,13.0,0.00794317,0.0,0.00014623465700578715
984,GEW,2,2.0,0.0,8.72716028,13.0,5e-08,1808.0,0.0002308400346807602
985,GFF,4,4.0,0.5,5.88963886,12.0,0.00154172,1.5,0.00021656780337557142
986,GFK,2,2.0,0.0,5.63043129,13.0,0.00689584,1806.6666666666665,0.00012886499041869375
987,GFN,2,2.0,1.0,5.88949764,12.0,0.00149415,0.0,0.00011536284749155402
988,GGG,1,1.0,,5.59874886,13.0,0.00884296,0.0,6.202361839876099e-05
989,GGS,4,4.0,0.0,7.58963021,15.0,3.39e-06,9.566666666666666,0.0003095261833430089
990,GGT,3,3.0,1.0,5.86880438,13.0,0.01551169,0.0,0.00010990599805910595
991,GGW,2,2.0,1.0,6.65998627,14.0,0.00043109,0.0,0.00013513764767913354
992,GHA,9,9.0,0.52777778,6.22969852,13.0,0.00500908,7.6060606060606055,0.00030386620413303087
993,GHB,4,4.0,1.0,5.86882453,13.0,0.01579305,0.0,0.0001409977789758378
994,GHE,2,2.0,1.0,5.92126923,13.0,0.00193477,0.0,0.00012492897911210032
995,GHT,1,1.0,,6.66571807,13.0,0.00023734,0.0,7.286569454537212e-05
996,GIB,1,1.0,,5.19366585,12.0,0.01776177,0.0,5.995437359276746e-05
997,GIC,3,3.0,0.66666667,7.1423562,12.0,8.29e-06,1.1444444444444444,0.0002103344423833435
998,GIL,1,1.0,,6.03013553,12.0,0.00285256,0.0,6.580924982355253e-05
999,GIS,2,2.0,1.0,5.85840229,12.0,0.00111942,0.0,0.00011505747220568228
1000,GIZ,8,8.0,0.64285714,5.63249699,12.0,0.01136513,1264.744620371053,0.00024573015893757647
1001,GJA,1,1.0,,7.57713952,15.0,4.181e-05,0.0,9.382650115189455e-05
1002,GJL,1,1.0,,6.23169094,13.0,0.00367403,0.0,6.465322303618146e-05
1003,GJM,2,2.0,0.0,6.76103593,14.0,9.487e-05,3616.0,0.0001910494568843426
1004,GJT,3,3.0,1.0,5.71679223,13.0,0.01648263,0.0,0.00011047871959123737
1005,GKA,4,4.0,1.0,6.72570677,11.0,0.00015738,0.0,0.00025974805983473804
1006,GLA,36,36.0,0.2968254,5.06425286,12.0,0.16924514,21752.892220507805,0.0008997039552890428
1007,GLF,1,1.0,,6.62483524,14.0,0.00153095,0.0,7.612356125924727e-05
1008,GLH,2,2.0,1.0,5.88106863,13.0,0.00595428,0.0,8.202644486479662e-05
1009,GLI,3,3.0,1.0,6.88466887,12.0,7.169e-05,0.0,0.0001813306477630258
1010,GLT,3,3.0,1.0,6.17364924,11.0,0.00105407,0.0,0.00016171955513693046
1011,GLV,2,2.0,0.0,7.72867535,15.0,9.5e-07,0.5,0.0001578849477004193
1012,GMB,1,1.0,,7.27907086,14.0,3.113e-05,0.0,9.708182669537104e-05
1013,GMI,2,2.0,1.0,7.72603608,12.0,2.85e-06,0.0,0.0001584578562121214
1014,GMR,2,2.0,1.0,6.07032747,13.0,0.0004474,0.0,0.0001446616100534573
1015,GNB,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.234932833210316e-05
1016,GND,10,10.0,0.64444444,5.15201748,12.0,0.04208737,527.8394107351502,0.0002556713623465281
1017,GNI,1,1.0,,6.49848091,13.0,4.774e-05,0.0,9.045750761146923e-05
1018,GNU,2,2.0,0.0,6.72703283,14.0,2.586e-05,1805.9999999999998,0.0001808647933246633
1019,GNV,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.954803036883061e-05
1020,GOA,12,12.0,0.56060606,5.24168633,12.0,0.09052327,149.25053544383542,0.0002670143516662254
1021,GOB,2,2.0,0.0,6.27930581,13.0,0.00168892,3615.9999999999995,0.0001688690715234772
1022,GOE,3,3.0,0.33333333,8.7280506,13.0,1.5e-07,12.166666666666663,0.0002474471704695293
1023,GOH,4,4.0,0.5,6.37032291,13.0,0.00033673,115.23149509803918,0.00026878336885916286
1024,GOI,8,8.0,0.5,5.75512995,12.0,0.01323242,47.47551470948547,0.00024546701462162046
1025,GOJ,7,7.0,0.52380952,5.27051913,12.0,0.03267978,253.220331665441,0.0001961486489479712
1026,GOM,2,2.0,0.0,6.75140319,14.0,0.00027057,7229.999999999999,0.00018274778246928758
1027,GON,1,1.0,,5.82114877,13.0,0.00792267,0.0,5.9377984014707056e-05
1028,GOR,3,3.0,1.0,6.27912477,13.0,0.00175064,0.0,0.00017948624255742447
1029,GOT,26,26.0,0.57230769,5.25771776,12.0,0.1959091,1776.277702430514,0.0005765481040993304
1030,GOU,2,2.0,1.0,6.23910221,13.0,0.00060293,0.0,0.00011187550869092548
1031,GOV,5,5.0,0.4,6.13836897,11.0,0.00071803,6773.557035812787,0.0003013697064474821
1032,GPB,2,2.0,0.0,6.77713991,14.0,0.000139,15.376253132832076,0.00013899052972567256
1033,GPI,1,1.0,,6.86558072,14.0,0.0002463,0.0,8.156612093850788e-05
1034,GPN,2,2.0,1.0,6.73771434,12.0,0.00026885,0.0,0.0001469613470962187
1035,GPO,2,2.0,1.0,5.59009338,13.0,0.00327358,0.0,0.00013025796981068854
1036,GPT,8,8.0,0.71428571,5.49809097,13.0,0.05416312,679.0640096684508,0.0002127823127609685
1037,GPZ,1,1.0,,6.63044818,14.0,0.00012244,0.0,0.00010767637269021187
1038,GRB,8,8.0,0.85714286,5.513184,13.0,0.04128868,2.015691904922586,0.0002043676446327842
1039,GRI,5,5.0,0.4,5.8178589,13.0,0.00643412,3617.5,0.0002934683748834995
1040,GRJ,4,4.0,1.0,5.69847192,12.0,0.00633766,0.0,0.00016919840133676803
1041,GRL,3,3.0,0.0,7.72535222,12.0,2.75e-06,1846.8964285714276,0.0002468780615886836
1042,GRO,1,1.0,,5.91987409,13.0,0.00952371,0.0,6.000401492621853e-05
1043,GRR,19,19.0,0.83040936,5.71238819,13.0,0.12900862,97.43249995253973,0.00040540116975689306
1044,GRW,1,1.0,,7.08265231,14.0,0.00010456,0.0,9.018774592209736e-05
1045,GRX,3,3.0,1.0,5.96536514,13.0,0.02199742,0.0,9.313687655291657e-05
1046,GRY,1,1.0,,7.11787363,14.0,4.409e-05,0.0,9.701833471482663e-05
1047,GRZ,9,9.0,0.75,5.33252083,12.0,0.06843457,2.3459426862255675,0.00019963689108706806
1048,GSO,17,17.0,0.95588235,5.67633952,13.0,0.13468955,7.4097982652794006,0.00035458543338216726
1049,GSP,15,15.0,0.9047619,5.68706452,13.0,0.11911733,72.48353052448657,0.00032709595057344554
1050,GST,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798470831218476
1051,GTE,4,4.0,0.5,6.13835089,11.0,0.00071772,6571.300708673466,0.00025512267937011186
1052,GTF,8,8.0,0.82142857,5.670487,13.0,0.019018,28.44002837896303,0.0002574885232179281
1053,GUA,17,17.0,0.48529412,5.00188979,12.0,0.07845465,8005.552621890095,0.000491116447107484
1054,GUB,1,1.0,,6.12173613,13.0,0.00078464,0.0,6.361424059796601e-05
1055,GUC,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676016425412757e-05
1056,GUD,2,2.0,1.0,7.23212961,14.0,1.132e-05,0.0,0.00019277994753289862
1057,GUH,2,2.0,0.0,5.8896659,12.0,0.00144813,3615.9999999999995,0.00017483843858994097
1058,GUI,2,2.0,0.0,7.27437025,14.0,0.00013269,0.6666666666666666,0.00013101978687206698
1059,GUM,22,22.0,0.32467532,5.23828061,11.0,0.03521874,19479.71976628129,0.0007328354386072858
1060,GUP,1,1.0,,5.95662364,13.0,0.00256951,0.0,6.591982977980763e-05
1061,GUR,9,9.0,0.16666667,6.72897775,11.0,0.00016467,28941.38123471065,0.0006425244069150007
1062,GUW,3,3.0,0.33333333,5.68094742,13.0,0.01476189,1.5193416232889918,0.0001002700552892206
1063,GVA,63,63.0,0.43215566,5.01429682,12.0,0.41172936,3248.3089940837817,0.0012255728936616246
1064,GVI,2,2.0,0.0,8.72701764,13.0,1e-07,7.000000000000001,0.0001925245050608953
1065,GVR,4,4.0,0.33333333,5.77207569,13.0,0.00484196,4056.7949231353073,0.00022041166805192042
1066,GWD,7,7.0,0.57142857,6.05111064,12.0,0.00545275,88.31317824417194,0.00023380719137053286
1067,GWL,2,2.0,1.0,5.68587032,12.0,0.00417067,0.0,9.997244205001749e-05
1068,GWT,3,3.0,0.66666667,5.94502606,13.0,0.01960908,0.08781362007168458,9.130072809901295e-05
1069,GWY,1,1.0,,5.86113945,13.0,0.00567564,0.0,6.110200839313829e-05
1070,GXF,5,5.0,0.8,5.62355123,12.0,0.01192055,127.36146902955117,0.00015864501056464728
1071,GYA,2,2.0,1.0,7.59989492,15.0,1.07e-05,0.0,0.0001614797783834274
1072,GYE,14,14.0,0.67032967,5.58707346,13.0,0.05952033,1310.989611381777,0.00041295600614244964
1073,GYI,2,2.0,1.0,6.23669148,13.0,0.00037086,0.0,0.00013362776742824312
1074,GYL,2,2.0,1.0,5.95771541,12.0,0.00080524,0.0,0.00013785385868757976
1075,GYM,3,3.0,0.66666667,5.76245974,13.0,0.00745646,2.6304054292228405,0.0001079852158656923
1076,GYN,7,7.0,0.57142857,5.77007516,13.0,0.00539586,30.128296792812915,0.0002854366941922134
1077,GYS,1,1.0,,5.85744734,12.0,0.00135621,0.0,6.289545990053524e-05
1078,GZA,10,10.0,0.64444444,5.23328011,12.0,0.05763563,109.23464968810785,0.00024432675872411723
1079,GZM,1,1.0,,6.4055401,13.0,0.00583279,0.0,5.940830376678903e-05
1080,GZO,7,7.0,0.28571429,7.16966208,11.0,2.206e-05,10843.5,0.0005531245190550094
1081,GZT,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.962674617630735e-05
1082,HAA,2,2.0,1.0,7.267121,14.0,0.00010855,0.0,0.0001280188269613678
1083,HAC,1,1.0,,5.30646428,12.0,0.00666652,0.0,6.634282998029369e-05
1084,HAD,1,1.0,,5.68599568,13.0,0.00765049,0.0,6.628474483481171e-05
1085,HAE,1,1.0,,6.63134312,14.0,0.00010822,0.0,0.0001051896018446155
1086,HAJ,65,65.0,0.34711538,5.31564387,12.0,0.35376308,6952.768190421021,0.0012584221680449164
1087,HAK,37,37.0,0.48048048,5.65015144,12.0,0.03096023,597.1560557528649,0.0007658241080318214
1088,HAM,77,77.0,0.32877649,5.37170894,12.0,0.40477548,24519.594098347232,0.001550681955514587
