,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
64,AHE,2,2.0,1.0,6.07039587,13.0,0.00044727,0.0,0.00014353529951532907
65,AHN,1,1.0,,5.82916305,13.0,0.00697035,0.0,6.067509010915375e-05
66,AHO,9,9.0,0.72222222,5.15456525,12.0,0.06359409,1.4234691771027417,0.00020176229049191914
67,AHS,2,2.0,1.0,7.57713654,15.0,4.257e-05,0.0,0.00016317652374239238
68,AHU,3,3.0,0.66666667,5.17597797,12.0,0.01981651,218.01729627610308,0.00011947254507213733
69,AIA,2,2.0,1.0,5.81796589,13.0,0.00620734,0.0,0.0001161046334854109
70,AIC,2,2.0,1.0,6.59553668,13.0,4.982e-05,0.0,0.00017678600550253008
71,AIM,1,1.0,,7.59599012,14.0,8.7e-07,0.0,0.00013601459822567462
72,AIN,3,3.0,1.0,6.72035512,14.0,2.799e-05,0.0,0.0002149786575420514
73,AIR,2,2.0,1.0,7.7701465,15.0,1.77e-06,0.0,0.00018616973308947064
74,AIT,1,1.0,,6.12956508,13.0,0.00024458,0.0,9.264459754143638e-05
75,AIU,2,2.0,1.0,6.12943054,13.0,0.00024908,0.0,0.00015661106499866142
76,AIY,9,9.0,0.72222222,5.87025681,13.0,0.0405287,2.1565243158344978,0.00020127334114095963
77,AJA,5,5.0,0.8,5.22374234,12.0,0.03213605,0.3087481146304676,0.0001366045072331113
78,AJF,8,8.0,0.71428571,5.60845067,12.0,0.01016156,1062.9926835515218,0.00024307529261322376
79,AJI,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.922713109331792e-05
80,AJL,2,2.0,1.0,5.91521369,12.0,0.00102746,0.0,0.00011325987680349054
81,AJR,2,2.0,1.0,5.68596935,13.0,0.00778883,0.0,0.00011527781710398323
82,AJU,5,5.0,0.6,5.93743681,13.0,0.00302093,119.45306370924614,0.00019110071441707464
83,AKA,1,1.0,,6.28023936,13.0,0.00074368,0.0,6.179761532936815e-05
84,AKB,1,1.0,,6.73041564,14.0,2.515e-05,0.0,0.00012048815727441637
85,AKF,1,1.0,,6.29367382,13.0,0.00142869,0.0,6.553215191849991e-05
86,AKG,2,2.0,0.0,9.7260135,14.0,0.0,3.0,0.0002376827891842335
87,AKI,2,2.0,0.0,7.72690347,15.0,4.7e-07,1.0,0.00021439200834515358
