,MODEL_TYPE,METHOD,AVG_NVI,AVG_NMI,AVG_RAND_IDX,MOD
0,model,Garvin-Newman,0.20028909871015732,0.799248063499687,0.9073548387096773,
1,model,Greedy,0.20859806704137418,0.7914812864053762,0.901548387096774,
2,model,Label-Propagation,0.4255674110646409,0.3585328339392923,0.4740645161290322,
3,toy,Garvin-Newman,0.5052679143264628,0.4611091600681684,0.7746031746031745,
4,toy,Greedy,0.419300623829898,0.582747833246374,0.8317460317460317,
5,toy,Label-Propagation,0.5311645884512728,0.14814302515323305,0.3936507936507937,
