,MODEL_TYPE,FILE_NAME,PARTITION_ID,METHOD,NUM_PARTITIONS,GEN_PARTITION,NVI,NMI,RAND_IDX,t1,t2,t3
0,model,./data/model/256_4_4_4_13_18_p.net,1,Garvin-Newman,1,True,0.40000000000000036,0.7500000000000008,0.7529411764705882,417.8789598941803,0.0008702278137207031,True
1,model,./data/model/256_4_4_4_13_18_p.net,1,Asyn-Fluid,1,True,0.743552052657434,0.13550764037458132,0.8666666666666668,417.8789598941803,0.004405021667480469,True
2,model,./data/model/256_4_4_4_13_18_p.net,1,Label-Propagation,1,True,0.6993001090930431,0.1823826403745813,0.8274509803921569,417.8789598941803,0.007932901382446289,True
3,model,./data/model/256_4_4_4_13_18_p.net,1,CN-Moore,1,True,1.0,0.0,1.0,417.8789598941803,0.010825157165527344,True
4,model,./data/model/256_4_4_2_15_18_p.net,1,Garvin-Newman,1,True,0.6666666666666672,0.49999999999999994,0.9411764705882353,362.9950911998749,0.0072138309478759766,True
5,model,./data/model/256_4_4_2_15_18_p.net,1,Asyn-Fluid,1,True,0.7262442689772914,0.2149201172213042,0.8509803921568628,362.9950911998749,0.011838912963867188,True
6,model,./data/model/256_4_4_2_15_18_p.net,1,Label-Propagation,1,True,0.7733414382491305,0.18477722230002513,0.819607843137255,362.9950911998749,0.015205860137939453,True
7,model,./data/model/256_4_4_2_15_18_p.net,1,CN-Moore,1,True,0.8458524143354388,0.13637520513789816,0.9335477941176471,362.9950911998749,0.018610000610351562,True
