,MODEL_TYPE,METHOD,DIFF_NVI,DIFF_NMI,DIFF_RAND_IDX
0,model,Garvin-Newman,0.045432237584067,0.05636881254007842,0.023655913978494758
1,model,Greedy,0.028814300921633257,0.04083525835145674,0.01204301075268821
2,model,Label-Propagation,0.26274000015589566,0.7170656678785846,0.7764301075268818
3,toy,Garvin-Newman,0.12895093574484734,0.06773959245582967,0.01904761904761898
4,toy,Greedy,0.3008855167379768,0.3110169388122409,0.09523809523809534
5,toy,Label-Propagation,0.0728650055554716,0.2962860503064661,0.48888888888888876
